pcode,parroquia,canton,riesgo_inundacion,score
90150,GUAYAQUIL,GUAYAQUIL,medio,0.563
90152,JUAN GÓMEZ RENDÓN,GUAYAQUIL,bajo,0.959
90153,MORRO,GUAYAQUIL,bajo,0.889
90156,POSORJA,GUAYAQUIL,bajo,0.908
90157,PUNÁ,GUAYAQUIL,medio,0.451
90158,TENGUEL,GUAYAQUIL,medio,0.764
90250,ALFREDO BAQUERIZO MORENO (JUJÁN),ALFREDO BAQUERIZO MORENO (JUJÁN),bajo,0.838
90350,BALAO,BALAO,medio,0.54
90450,BALZAR,BALZAR,medio,0.56
90550,COLIMES,COLIMES,bajo,0.607
90551,SAN JACINTO,COLIMES,bajo,0.927
90650,DAULE,DAULE,medio,0.75
90652,JUAN BAUTISTA AGUIRRE,DAULE,bajo,0.863
90653,LAUREL,DAULE,alto,0.745
90654,LIMONAL,DAULE,medio,0.821
90656,LOS LOJAS,DAULE,bajo,0.916
90750,ELOY ALFARO,DURÁN,medio,0.598
90850,VELASCO IBARRA,EL EMPALME,alto,0.726
90851,GUAYAS,EL EMPALME,bajo,0.926
90852,EL ROSARIO,EL EMPALME,medio,0.617
90950,EL TRIUNFO,EL TRIUNFO,alto,0.719
91050,MILAGRO,MILAGRO,alto,0.742
91051,CHOBO,MILAGRO,alto,0.764
91053,MARISCAL SUCRE,MILAGRO,alto,0.741
91054,ROBERTO ASTUDILLO,MILAGRO,medio,0.719
91150,NARANJAL,NARANJAL,bajo,0.789
91151,JESÚS MARÍA,NARANJAL,alto,0.732
91152,SAN CARLOS,NARANJAL,medio,0.743
91153,SANTA ROSA DE FLANDES,NARANJAL,alto,0.572
91154,TAURA,NARANJAL,medio,0.47
91250,NARANJITO,NARANJITO,medio,0.51
91350,PALESTINA,PALESTINA,bajo,0.868
91450,PEDRO CARBO,PEDRO CARBO,medio,0.622
91451,VALLE DE LA VIRGEN,PEDRO CARBO,bajo,0.872
91452,SABANILLA,PEDRO CARBO,medio,0.56
91650,SAMBORONDÓN,SAMBORONDÓN,medio,0.729
91651,TARIFA,SAMBORONDÓN,medio,0.618
91850,SANTA LUCÍA,SANTA LUCÍA,medio,0.717
91950,EL SALITRE,SALITRE,medio,0.79
91951,GENERAL VERNAZA,SALITRE,alto,0.713
91952,LA VICTORIA,SALITRE,medio,0.546
91953,JUNQUILLAL,SALITRE,bajo,0.903
92050,SAN JACINTO DE YAGUACHI,SAN JACINTO DE YAGUACHI,medio,0.543
92053,GENERAL PEDRO J. MONTERO,SAN JACINTO DE YAGUACHI,alto,0.577
92055,YAGUACHI VIEJO,SAN JACINTO DE YAGUACHI,bajo,0.929
92056,VIRGEN DE FÁTIMA,SAN JACINTO DE YAGUACHI,medio,0.833
92150,GENERAL VILLAMIL,PLAYAS,bajo,0.866
92250,SIMÓN BOLÍVAR,SIMÓN BOLÍVAR,medio,0.775
92251,CORONEL LORENZO DE GARAYCOA,SIMÓN BOLÍVAR,alto,0.733
92350,CORONEL MARCELINO MARIDUEÑA,CORONEL MARCELINO MARIDUEÑA,alto,0.688
92450,LOMAS DE SARGENTILLO,LOMAS DE SARGENTILLO,alto,0.731
92550,NARCISA DE JESÚS,NOBOL,bajo,0.938
92750,GENERAL ANTONIO ELIZALDE,GENERAL  ANTONIO ELIZALDE,alto,0.628
92850,ISIDRO AYORA,ISIDRO AYORA,medio,0.535
