pcode,parroquia,canton,riesgo_inundacion,score,modelo_final
90150,GUAYAQUIL,GUAYAQUIL,bajo,0.998,Regresión Logística (GridSearchCV)
90152,JUAN GÓMEZ RENDÓN,GUAYAQUIL,bajo,1.0,Regresión Logística (GridSearchCV)
90153,MORRO,GUAYAQUIL,bajo,1.0,Regresión Logística (GridSearchCV)
90156,POSORJA,GUAYAQUIL,bajo,1.0,Regresión Logística (GridSearchCV)
90157,PUNÁ,GUAYAQUIL,medio,0.415,Regresión Logística (GridSearchCV)
90158,TENGUEL,GUAYAQUIL,medio,0.965,Regresión Logística (GridSearchCV)
90250,ALFREDO BAQUERIZO MORENO (JUJÁN),ALFREDO BAQUERIZO MORENO (JUJÁN),bajo,0.973,Regresión Logística (GridSearchCV)
90350,BALAO,BALAO,medio,0.997,Regresión Logística (GridSearchCV)
90450,BALZAR,BALZAR,medio,0.973,Regresión Logística (GridSearchCV)
90550,COLIMES,COLIMES,bajo,0.945,Regresión Logística (GridSearchCV)
90551,SAN JACINTO,COLIMES,bajo,1.0,Regresión Logística (GridSearchCV)
90650,DAULE,DAULE,medio,0.999,Regresión Logística (GridSearchCV)
90652,JUAN BAUTISTA AGUIRRE,DAULE,bajo,0.982,Regresión Logística (GridSearchCV)
90653,LAUREL,DAULE,alto,0.973,Regresión Logística (GridSearchCV)
90654,LIMONAL,DAULE,alto,0.64,Regresión Logística (GridSearchCV)
90656,LOS LOJAS,DAULE,bajo,1.0,Regresión Logística (GridSearchCV)
90750,ELOY ALFARO,DURÁN,medio,1.0,Regresión Logística (GridSearchCV)
90850,VELASCO IBARRA,EL EMPALME,alto,0.958,Regresión Logística (GridSearchCV)
90851,GUAYAS,EL EMPALME,bajo,0.997,Regresión Logística (GridSearchCV)
90852,EL ROSARIO,EL EMPALME,medio,0.982,Regresión Logística (GridSearchCV)
90950,EL TRIUNFO,EL TRIUNFO,alto,1.0,Regresión Logística (GridSearchCV)
91050,MILAGRO,MILAGRO,medio,0.999,Regresión Logística (GridSearchCV)
91051,CHOBO,MILAGRO,alto,0.98,Regresión Logística (GridSearchCV)
91053,MARISCAL SUCRE,MILAGRO,alto,0.999,Regresión Logística (GridSearchCV)
91054,ROBERTO ASTUDILLO,MILAGRO,medio,0.96,Regresión Logística (GridSearchCV)
91150,NARANJAL,NARANJAL,bajo,1.0,Regresión Logística (GridSearchCV)
91151,JESÚS MARÍA,NARANJAL,alto,0.996,Regresión Logística (GridSearchCV)
91152,SAN CARLOS,NARANJAL,medio,0.988,Regresión Logística (GridSearchCV)
91153,SANTA ROSA DE FLANDES,NARANJAL,alto,0.982,Regresión Logística (GridSearchCV)
91154,TAURA,NARANJAL,alto,0.972,Regresión Logística (GridSearchCV)
91250,NARANJITO,NARANJITO,medio,0.988,Regresión Logística (GridSearchCV)
91350,PALESTINA,PALESTINA,bajo,0.956,Regresión Logística (GridSearchCV)
91450,PEDRO CARBO,PEDRO CARBO,medio,0.943,Regresión Logística (GridSearchCV)
91451,VALLE DE LA VIRGEN,PEDRO CARBO,bajo,1.0,Regresión Logística (GridSearchCV)
91452,SABANILLA,PEDRO CARBO,medio,0.985,Regresión Logística (GridSearchCV)
91650,SAMBORONDÓN,SAMBORONDÓN,medio,0.976,Regresión Logística (GridSearchCV)
91651,TARIFA,SAMBORONDÓN,alto,0.991,Regresión Logística (GridSearchCV)
91850,SANTA LUCÍA,SANTA LUCÍA,medio,0.949,Regresión Logística (GridSearchCV)
91950,EL SALITRE,SALITRE,medio,0.962,Regresión Logística (GridSearchCV)
91951,GENERAL VERNAZA,SALITRE,alto,0.711,Regresión Logística (GridSearchCV)
91952,LA VICTORIA,SALITRE,alto,1.0,Regresión Logística (GridSearchCV)
91953,JUNQUILLAL,SALITRE,bajo,0.995,Regresión Logística (GridSearchCV)
92050,SAN JACINTO DE YAGUACHI,SAN JACINTO DE YAGUACHI,alto,0.872,Regresión Logística (GridSearchCV)
92053,GENERAL PEDRO J. MONTERO,SAN JACINTO DE YAGUACHI,alto,0.735,Regresión Logística (GridSearchCV)
92055,YAGUACHI VIEJO,SAN JACINTO DE YAGUACHI,bajo,1.0,Regresión Logística (GridSearchCV)
92056,VIRGEN DE FÁTIMA,SAN JACINTO DE YAGUACHI,medio,0.971,Regresión Logística (GridSearchCV)
92150,GENERAL VILLAMIL,PLAYAS,bajo,1.0,Regresión Logística (GridSearchCV)
92250,SIMÓN BOLÍVAR,SIMÓN BOLÍVAR,medio,0.927,Regresión Logística (GridSearchCV)
92251,CORONEL LORENZO DE GARAYCOA,SIMÓN BOLÍVAR,alto,0.999,Regresión Logística (GridSearchCV)
92350,CORONEL MARCELINO MARIDUEÑA,CORONEL MARCELINO MARIDUEÑA,alto,1.0,Regresión Logística (GridSearchCV)
92450,LOMAS DE SARGENTILLO,LOMAS DE SARGENTILLO,alto,0.986,Regresión Logística (GridSearchCV)
92550,NARCISA DE JESÚS,NOBOL,bajo,1.0,Regresión Logística (GridSearchCV)
92750,GENERAL ANTONIO ELIZALDE,GENERAL  ANTONIO ELIZALDE,alto,1.0,Regresión Logística (GridSearchCV)
92850,ISIDRO AYORA,ISIDRO AYORA,bajo,0.92,Regresión Logística (GridSearchCV)
